id,img_path,name,material,description,cost
1,1.jpg,"Серьги из золота с бриллиантами",1,NULL,70000
2,2.jpg,"Серьги из золота с бриллиантами",1,"Классические серьги из золота с бриллиантами – базовое украшение, без которого не обойтись ни одной девушке. Бриллианты – всегда уместны, а тип застёжки, английский замок, признан одним из самых надёжных и комфортных. Кроме того, такое украшение будет без",62000
3,3.jpg,"Серьги из комбинированного золота",1,NULL,50000
4,4.jpg,"Серьги из золота с жемчугом",2,NULL,5990
5,5.jpg,"Серьги из золота с жемчугом",2,NULL,9990
6,6.jpg,"Серьги из золота с изумрудами",2,NULL,70000
7,7.jpg,"Серьги из белого золота с бриллиантами",3,NULL,40000
8,8.jpg,"Серьги из белого золота с бриллиантами",3,NULL,44000
9,9.jpg,"Серьги из белого золота с бриллиантами",3,NULL,104000
10,10.jpg,"Серьги из белого золота с бриллиантами",3,NULL,62000
11,11.jpg,"Серьги из комбинированного золота ",1,NULL,36000
12,12.jpg,"Серьги из комбинированного золота ",1,NULL,56000
13,13.jpg,"Серьги из белого золота с бриллиантами",3,NULL,11990
14,14.jpg,"Серьги из белого золота с бриллиантами",3,NULL,30000
15,15.jpg,"Серьги из белого золота с бриллиантами",3,NULL,26000
16,16.jpg,"Серьги из золота с бриллиантами",2,NULL,72000
17,17.jpg,"Серьги из золота с бриллиантами",2,NULL,106000
18,18.jpg,"Серьги из золота с бриллиантами",2,NULL,88000
19,19.jpg,"Серьги из золота с бриллиантами",2,NULL,9900
20,20.jpg,"Серьги из золота с бриллиантами",2,NULL,12990
